Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W)
MedidorLSD;01/08/2022, 0:00:00;18234,51705833333;5955,505775;5824,558622222222;6453,498786111111
MedidorLSD;01/08/2022, 1:00:00;18544,806441666668;6012,983027777777;5976,966766666666;6555,988552777778
MedidorLSD;01/08/2022, 2:00:00;18208,09961944444;5878,830525;5939,6346277777775;6392,159569444444
MedidorLSD;01/08/2022, 3:00:00;18356,99509349707;5921,170976835054;5975,9606363382645;6461,608484510187
MedidorLSD;01/08/2022, 4:00:00;18550,067797222222;6057,997652777778;5910,046555555556;6581,383841666668
MedidorLSD;01/08/2022, 5:00:00;18310,414619444444;5959,357119444445;5859,898786111111;6491,479708333333
MedidorLSD;01/08/2022, 6:00:00;18225,86175;5995,608783333332;5681,151783333333;6546,862083333333
MedidorLSD;01/08/2022, 7:00:00;20313,513141666666;6568,317647222222;6478,439152777779;7269,347288888889
MedidorLSD;01/08/2022, 8:00:00;24569,95655833333;8154,02525;7751,529347222222;8657,206016666667
MedidorLSD;01/08/2022, 9:00:00;25672,016102777776;8486,506691666667;7946,41575;9234,178086111111
MedidorLSD;01/08/2022, 10:00:00;26246,83721111111;8635,221947222222;8102,951830555556;9507,120336111111
MedidorLSD;01/08/2022, 11:00:00;26246,7541;8477,53371388889;8182,222163888889;9592,286891666667
MedidorLSD;01/08/2022, 12:00:00;24905,53301111111;8019,557627777778;7484,696047222222;9409,822850000002
MedidorLSD;01/08/2022, 13:00:00;28427,728983333334;9523,533822222222;8496,947327777778;10397,771497222222
MedidorLSD;01/08/2022, 14:00:00;27822,861002777776;8920,43393888889;8778,213802777778;10133,593794444443
MedidorLSD;01/08/2022, 15:00:00;29129,643922222225;9207,831080555556;9394,387374999998;10541,58253888889
MedidorLSD;01/08/2022, 16:00:00;30299,182691666665;9623,05663888889;9382,137544444444;11309,159555555556
MedidorLSD;01/08/2022, 17:00:00;27644,97223611111;8924,119172222223;8611,304958333334;10115,578927777779
MedidorLSD;01/08/2022, 18:00:00;21620,421044444443;6900,718875;6572,017944444445;8158,076005555556
MedidorLSD;01/08/2022, 19:00:00;20258,83603611111;6370,812002777778;6369,522061111112;7531,483480555556
MedidorLSD;01/08/2022, 20:00:00;19885,118408333332;6187,965797222222;6226,448450000001;7486,950183333333
MedidorLSD;01/08/2022, 21:00:00;19997,892044444445;6251,524700000001;6291,584930555556;7469,417630555556
MedidorLSD;01/08/2022, 22:00:00;19240,952999999998;5965,212205555556;5973,763236111111;7319,794077777778
MedidorLSD;01/08/2022, 23:00:00;18173,347958333332;5877,311122222222;5778,600880555556;6520,542169444444
MedidorLSD;02/08/2022, 0:00:00;17922,096094444445;5851,501991666667;5716,255427777777;6354,273508333333
MedidorLSD;02/08/2022, 1:00:00;17910,47125277778;5858,450883333333;5719,186186111111;6331,7588
MedidorLSD;02/08/2022, 2:00:00;18252,87065277778;5975,792827777777;5782,509444444445;6493,677722222223
MedidorLSD;02/08/2022, 3:00:00;18072,27679108635;5955,386721448467;5698,556693593315;6415,490247910864
MedidorLSD;02/08/2022, 4:00:00;17968,743508333333;5898,200930555556;5716,905908333333;6351,773558333334
MedidorLSD;02/08/2022, 5:00:00;17719,691722222222;5876,110677777777;5568,224236111111;6270,848441666667
MedidorLSD;02/08/2022, 6:00:00;17953,41795833333;5936,711538888889;5554,552833333333;6459,161816666667
MedidorLSD;02/08/2022, 7:00:00;19963,948533333332;6554,544536111111;6072,158077777777;7338,052963888889
MedidorLSD;02/08/2022, 8:00:00;22872,612691666665;7238,958461111111;7262,1212305555555;8382,851163888889
MedidorLSD;02/08/2022, 9:00:00;23216,715738888888;7527,486063888889;7335,975877777778;8355,70028888889
MedidorLSD;02/08/2022, 10:00:00;23991,340919444447;7514,689322222222;8029,245666666667;8460,31246111111
MedidorLSD;02/08/2022, 11:00:00;24826,21941111111;7859,483077777777;8284,549163888889;8692,575375
MedidorLSD;02/08/2022, 12:00:00;25073,25885;7772,716166666666;8157,926627777778;9162,373716666667
MedidorLSD;02/08/2022, 13:00:00;25278,21710277778;8119,348977777778;8059,251941666667;9105,543491666667
MedidorLSD;02/08/2022, 14:00:00;26609,63251666667;8289,5663;8781,943027777777;9556,969230555555
MedidorLSD;02/08/2022, 15:00:00;28211,930608333332;8898,146847222222;8974,237302777778;10355,147372222222
MedidorLSD;02/08/2022, 16:00:00;27047,550333333333;8204,331233333332;8660,607255555555;10215,303441666667
MedidorLSD;02/08/2022, 17:00:00;22054,84331111111;6875,788397222223;6871,340002777778;8326,168802777778
MedidorLSD;02/08/2022, 18:00:00;19938,446272222223;6139,192961111111;6231,543719444445;7587,374130555556
MedidorLSD;02/08/2022, 19:00:00;19213,144405555555;5857,399619444444;6019,1658333333335;7358,827222222222
MedidorLSD;02/08/2022, 20:00:00;18937,878194444445;5957,121447222223;5947,020266666667;7046,4979111111115
MedidorLSD;02/08/2022, 21:00:00;18523,469208333332;6020,4425666666675;5896,888694444444;6606,482655555556
MedidorLSD;02/08/2022, 22:00:00;18241,111713888888;5948,147605555555;5838,198430555556;6454,184169444445
MedidorLSD;02/08/2022, 23:00:00;18449,83535;6052,960225000001;5847,420847222222;6547,266511111112
MedidorLSD;03/08/2022, 0:00:00;18328,912952777777;6011,059386111111;5834,034594444444;6482,279705555555
MedidorLSD;03/08/2022, 1:00:00;18269,716330555555;6031,987305555555;5785,190305555556;6448,801580555556
MedidorLSD;03/08/2022, 2:00:00;18344,79916388889;6036,815741666667;5829,4839833333335;6475,525808333334
MedidorLSD;03/08/2022, 3:00:00;18156,800363027087;5979,060740016755;5796,298575816811;6378,476319463836
MedidorLSD;03/08/2022, 4:00:00;18360,656525000002;6031,506836111111;5856,590708333333;6469,929297222222
MedidorLSD;03/08/2022, 5:00:00;18161,872447222224;6021,050122222223;5722,3618166666665;6413,538808333334
MedidorLSD;03/08/2022, 6:00:00;18268,38993888889;6033,73193611111;5700,990316666667;6530,310133333333
MedidorLSD;03/08/2022, 7:00:00;18918,75661388889;6187,773994444444;5988,278636111111;6741,963752777777
MedidorLSD;03/08/2022, 8:00:00;22495,888805555558;7226,728036111111;7267,479088888888;8006,129800000001
MedidorLSD;03/08/2022, 9:00:00;24599,13105;8038,286041666666;7809,536458333333;8751,115647222221
MedidorLSD;03/08/2022, 10:00:00;26234,30072777778;8704,139419444444;8327,517008333334;9195,027719444444
MedidorLSD;03/08/2022, 11:00:00;25891,938858333335;8461,487152777778;8324,715283333333;9104,353172222223
MedidorLSD;03/08/2022, 12:00:00;23640,29282222222;7698,152808333333;7310,808852777778;8633,695627777779
MedidorLSD;03/08/2022, 13:00:00;26079,20941388889;8253,889155555556;8551,648644444445;9284,190836111111
MedidorLSD;03/08/2022, 14:00:00;25936,264219444445;8340,49973611111;8591,160605555555;9008,240416666667
MedidorLSD;03/08/2022, 15:00:00;27043,342044444445;8228,585841666667;9243,732030555557;9597,569286111111
MedidorLSD;03/08/2022, 16:00:00;26184,944911111113;8393,469191666667;8236,8984;9563,341205555556
MedidorLSD;03/08/2022, 17:00:00;24305,37913888889;7673,772575;7772,052277777778;8872,58931111111
MedidorLSD;03/08/2022, 18:00:00;21617,48406388889;6834,369119444445;6763,418905555556;8032,656441666666
MedidorLSD;03/08/2022, 19:00:00;20379,727049999998;6321,942755555556;6483,658675;7591,196138888889
MedidorLSD;03/08/2022, 20:00:00;19843,534022222222;6205,582180555556;6270,688983333333;7381,537855555556
MedidorLSD;03/08/2022, 21:00:00;18787,279669444444;6086,971969444445;6029,500219444444;6672,404794444444
MedidorLSD;03/08/2022, 22:00:00;18595,341319444444;6071,1542805555555;5946,730299999999;6576,294674999999
MedidorLSD;03/08/2022, 23:00:00;18721,801819444445;6081,783747222222;6026,041638888889;6615,009358333333
MedidorLSD;04/08/2022, 0:00:00;18445,73349638688;6016,644438576986;5935,360622568093;6493,168035019456
MedidorLSD;04/08/2022, 1:00:00;19039,506847222223;6186,213941666666;6099,923;6754,235277777778
MedidorLSD;04/08/2022, 2:00:00;18551,01651388889;6025,178163888889;5970,534783333333;6555,849330555556
MedidorLSD;04/08/2022, 3:00:00;18463,396558839933;6022,007058003346;5923,776503067485;6516,935574456218
MedidorLSD;04/08/2022, 4:00:00;18493,908072222224;6036,939383333333;5926,659416666666;6529,460283333333
MedidorLSD;04/08/2022, 5:00:00;18400,028397222224;5993,647955555556;5908,500222222223;6498,2531361111105
MedidorLSD;04/08/2022, 6:00:00;18276,09733333333;6015,947869444444;5724,1061083333325;6534,351605555556
MedidorLSD;04/08/2022, 7:00:00;19624,04932222222;6424,438813888889;6066,952552777777;7131,9772111111115
MedidorLSD;04/08/2022, 8:00:00;22734,610844444447;7386,166758333333;7463,4891194444435;7884,324727777777
MedidorLSD;04/08/2022, 9:00:00;24145,700019444448;7960,646819444445;7789,841538888889;8388,956941666665
MedidorLSD;04/08/2022, 10:00:00;24403,08841111111;7720,006505555556;8107,090725;8585,301466666668
MedidorLSD;04/08/2022, 11:00:00;23833,976691666667;7734,323430555556;7973,889477777777;8124,745425
MedidorLSD;04/08/2022, 12:00:00;22388,969880555553;7194,730452777779;7156,127241666667;8043,195663888889
MedidorLSD;04/08/2022, 13:00:00;24003,4933;7948,339625;7211,367494444445;8841,193327777777
MedidorLSD;04/08/2022, 14:00:00;24928,217758333336;7650,2602027777775;7894,959227777777;9408,457363888889
MedidorLSD;04/08/2022, 15:00:00;26471,00152777778;8342,871222222222;8390,158152777778;9752,9225
MedidorLSD;04/08/2022, 16:00:00;24047,06461944444;7402,202347222222;7625,499641666667;9042,527477777778
MedidorLSD;04/08/2022, 17:00:00;21845,102925;6866,992416666666;6738,0089194444445;8255,991427777777
MedidorLSD;04/08/2022, 18:00:00;20762,5396;6395,909933333332;6310,522258333333;8078,114291666667
MedidorLSD;04/08/2022, 19:00:00;19549,03646111111;5884,883044444445;6119,786338888889;7570,97645
MedidorLSD;04/08/2022, 20:00:00;19495,659316666664;5914,419441666667;6036,8216250000005;7569,000458333333
MedidorLSD;04/08/2022, 21:00:00;18465,161966666667;5958,1594;5876,039005555556;6634,224383333334
MedidorLSD;04/08/2022, 22:00:00;18098,567905555556;5889,152191666667;5789,193227777778;6420,616033333333
MedidorLSD;04/08/2022, 23:00:00;18194,788016666665;5921,169102777778;5799,313738888889;6474,882597222223
MedidorLSD;05/08/2022, 0:00:00;18110,013211111112;5920,289980555555;5765,661480555556;6423,766113888888
MedidorLSD;05/08/2022, 1:00:00;18055,49718611111;5928,406013888888;5752,953575;6371,884705555555
MedidorLSD;05/08/2022, 2:00:00;18041,961727777776;5938,901802777778;5752,358922222223;6347,5796222222225
MedidorLSD;05/08/2022, 3:00:00;18096,899631284916;5953,875488826816;5768,608167597766;6371,353209497207
MedidorLSD;05/08/2022, 4:00:00;18107,098313888888;5959,281894444444;5752,801600000001;6392,503613888888
MedidorLSD;05/08/2022, 5:00:00;17995,294083333334;5956,508755555556;5682,603494444444;6352,011827777777
