Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W)
MedCEEI;30/06/2023, 0:00:00;900,4930166666667;278,67551944444443;396,18559166666665;226,04350833333334
MedCEEI;30/06/2023, 1:00:00;915,7781777777777;300,9317555555556;372,6982027777778;242,6704111111111
MedCEEI;30/06/2023, 2:00:00;864,0646472222222;308,69447222222226;353,2379583333333;202,89878611111112
MedCEEI;30/06/2023, 3:00:00;977,3091173184358;366,7175167597765;368,8992905027933;242,57148603351953
MedCEEI;30/06/2023, 4:00:00;867,1536277777778;307,3470416666667;349,50624444444446;211,0005111111111
MedCEEI;30/06/2023, 5:00:00;868,55615;285,4889972222222;350,8511722222222;232,59319444444444
MedCEEI;30/06/2023, 6:00:00;1281,462972222222;560,7378111111111;428,658975;294,0167666666666
MedCEEI;30/06/2023, 7:00:00;1767,5085777777776;865,4186583333333;563,7510527777778;342,03958611111113
MedCEEI;30/06/2023, 8:00:00;2694,987383333333;1087,5956416666668;1114,5491388888888;497,23173333333335
MedCEEI;30/06/2023, 9:00:00;4109,022297222222;1182,6911694444445;2399,3628861111115;532,3097416666667
MedCEEI;30/06/2023, 10:00:00;3942,3275916666666;1204,6491277777777;2182,5944555555557;560,4557638888889
MedCEEI;30/06/2023, 11:00:00;3249,7917;1133,6981888888888;1604,495238888889;516,3716861111111
MedCEEI;30/06/2023, 12:00:00;2146,0791611111113;888,5590777777778;836,5906777777777;424,3531111111111
MedCEEI;30/06/2023, 13:00:00;2344,668458333333;894,7683472222221;1026,06295;427,2670972222222
MedCEEI;30/06/2023, 14:00:00;3126,7968796888026;1325,5289552653514;1204,9263295359824;601,5540705751598
MedCEEI;30/06/2023, 15:00:00;2905,7013083333336;1168,2130777777777;1043,116925;697,7076472222222
MedCEEI;30/06/2023, 16:00:00;2925,895686111111;1048,9969888888888;1290,3048916666664;589,9675166666667
MedCEEI;30/06/2023, 17:00:00;1921,7028555555553;705,530225;749,5048083333334;468,236625
MedCEEI;30/06/2023, 18:00:00;972,1790555555555;347,5854888888889;373,388325;251,83294722222223
MedCEEI;30/06/2023, 19:00:00;811,5167361111111;320,6477194444445;255,18740277777778;236,168025
MedCEEI;30/06/2023, 20:00:00;908,13365;338,1463361111111;354,5121777777777;216,35289444444444
MedCEEI;30/06/2023, 21:00:00;871,7135444444444;312,2966638888889;341,0781527777778;219,0126138888889
MedCEEI;30/06/2023, 22:00:00;814,0672111111111;321,5856861111111;261,7941333333333;231,27344166666668
MedCEEI;30/06/2023, 23:00:00;744,6711361111111;207,0554277777778;335,22409444444446;202,45123333333336
MedCEEI;01/07/2023, 0:00:00;675,8823472222223;186,11508333333336;256,0425666666667;233,36414166666668
MedCEEI;01/07/2023, 1:00:00;698,1088774659628;199,56089747151987;305,409827729925;193,20305362600723
MedCEEI;01/07/2023, 2:00:00;836,0538361111111;313,2442694444444;291,754075;231,59421944444443
MedCEEI;01/07/2023, 3:00:00;768,5338115212528;258,7314765100671;306,302706935123;203,90314876957493
MedCEEI;01/07/2023, 4:00:00;773,2068972222222;193,57869444444447;356,9316194444445;222,53849444444447
MedCEEI;01/07/2023, 5:00:00;676,3032611111112;193,5228888888889;260,87567777777775;221,69201666666666
MedCEEI;01/07/2023, 6:00:00;709,254825;215,95294444444448;306,63766388888894;186,88928888888887
MedCEEI;01/07/2023, 7:00:00;884,7964055555556;310,7721388888889;365,3115916666667;209,45971666666665
MedCEEI;01/07/2023, 8:00:00;659,591325;204,35791666666665;285,64361388888886;169,86131944444443
MedCEEI;01/07/2023, 9:00:00;700,8393970547374;171,54093359266466;318,23865240344537;210,81596276743537
MedCEEI;01/07/2023, 10:00:00;798,6405638888888;272,6927083333333;343,6880722222222;182,92758611111114
MedCEEI;01/07/2023, 11:00:00;926,1571666666666;391,68783055555554;338,06703333333337;197,78284444444444
MedCEEI;01/07/2023, 12:00:00;900,3085694444445;411,7706861111111;295,76677777777775;194,22229722222224
MedCEEI;01/07/2023, 13:00:00;700,1159305555556;237,2379277777778;290,43460555555555;172,9299861111111
MedCEEI;01/07/2023, 14:00:00;689,1270444444444;175,3208611111111;306,9911166666667;206,66282777777775
MedCEEI;01/07/2023, 15:00:00;631,1178138888888;186,9853361111111;282,2010638888889;162,14615555555557
MedCEEI;01/07/2023, 16:00:00;837,8587055555555;324,4222416666667;300,3542638888889;213,85824444444444
MedCEEI;01/07/2023, 17:00:00;769,826175;267,30564166666665;312,6831027777778;190,40001944444447
MedCEEI;01/07/2023, 18:00:00;754,5118305555555;181,9129888888889;347,4770416666667;224,95615
MedCEEI;01/07/2023, 19:00:00;740,0140250000001;209,07105833333333;320,97148888888887;210,01945555555557
MedCEEI;01/07/2023, 20:00:00;695,7380694444444;227,92974444444445;264,31036666666665;203,66729166666667
MedCEEI;01/07/2023, 21:00:00;835,9507722222222;303,8561111111111;304,56997777777775;228,0470361111111
MedCEEI;01/07/2023, 22:00:00;776,8172111111111;243,71782222222222;345,5078083333333;188,03646944444446
MedCEEI;01/07/2023, 23:00:00;711,6033083333334;186,38703611111114;292,74265;232,14893888888886
MedCEEI;02/07/2023, 0:00:00;706,6179077521534;181,16985551542098;330,8593498193943;194,53846901917197
MedCEEI;02/07/2023, 1:00:00;777,559375;292,42355833333335;266,0855222222222;219,49637777777778
MedCEEI;02/07/2023, 2:00:00;780,8820555555556;288,6296138888889;284,06975277777775;208,7277611111111
MedCEEI;02/07/2023, 3:00:00;699,4005721462462;182,5808875244209;312,77436226625736;203,93414178063077
MedCEEI;02/07/2023, 4:00:00;766,6229055555556;208,58839166666667;333,88676111111107;224,02180833333333
MedCEEI;02/07/2023, 5:00:00;715,9494166666666;186,4644972222222;338,4449027777778;191,066275
MedCEEI;02/07/2023, 6:00:00;790,7097666666667;296,30696111111115;283,80064444444446;211,18293611111113
MedCEEI;02/07/2023, 7:00:00;712,4170083333333;258,32641944444447;290,5949972222222;164,17910833333335
MedCEEI;02/07/2023, 8:00:00;675,9776833333334;174,21116388888888;297,3384888888889;204,24330555555557
MedCEEI;02/07/2023, 9:00:00;693,7635916666667;219,12424722222224;286,4650138888889;188,4027861111111
MedCEEI;02/07/2023, 10:00:00;854,6562388888889;365,9012666666667;309,9848083333334;180,0803361111111
MedCEEI;02/07/2023, 11:00:00;888,2813666666666;407,1446888888889;277,7026611111111;204,81479444444446
MedCEEI;02/07/2023, 12:00:00;688,9412972222221;216,76492777777779;308,6993861111111;163,89332222222222
MedCEEI;02/07/2023, 13:00:00;696,4609669352598;204,90024729091414;281,72011114198386;209,7847763267574
MedCEEI;02/07/2023, 14:00:00;673,5655972222222;174,99715277777779;334,78571111111114;163,90842222222224
MedCEEI;02/07/2023, 15:00:00;849,1502305555556;267,5890444444445;371,6039083333334;210,3654277777778
MedCEEI;02/07/2023, 16:00:00;782,2622666666667;334,2199083333333;264,47249166666666;184,6105111111111
MedCEEI;02/07/2023, 17:00:00;768,6571166666668;220,42121111111112;330,26845555555553;218,06218055555556
MedCEEI;02/07/2023, 18:00:00;739,3083578771882;184,44522367324257;334,6091219783273;220,03815226451795
MedCEEI;02/07/2023, 19:00:00;701,075563888889;213,82900555555554;282,4377861111111;204,87765555555558
MedCEEI;02/07/2023, 20:00:00;860,4908972222222;293,66366666666664;335,85594444444445;231,4086638888889
MedCEEI;02/07/2023, 21:00:00;774,5203083333333;314,8097916666667;270,687675;189,88369722222222
MedCEEI;02/07/2023, 22:00:00;762,7957666666666;214,37569166666665;311,09554166666663;237,1959138888889
MedCEEI;02/07/2023, 23:00:00;669,8980750000001;186,15383055555557;292,7135166666667;190,98774444444444
