Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W)
MedCentralDeLabs;30/06/2023, 0:00:00;836,8651972222223;330,3579916666667;216,6181222222222;287,20722222222224
MedCentralDeLabs;30/06/2023, 1:00:00;832,0016555555555;327,69005;215,388675;286,26511111111114
MedCentralDeLabs;30/06/2023, 2:00:00;833,8958111111111;328,55825555555555;216,62222500000001;286,08279444444446
MedCentralDeLabs;30/06/2023, 3:00:00;828,9392783505155;326,70506826414044;214,37139593201448;285,21378657007523
MedCentralDeLabs;30/06/2023, 4:00:00;828,2560694444445;326,0266166666667;213,795325;285,7549333333333
MedCentralDeLabs;30/06/2023, 5:00:00;828,1246694444444;326,35857500000003;214,01014166666667;285,08886666666666
MedCentralDeLabs;30/06/2023, 6:00:00;842,426288888889;332,05868333333336;220,28985;287,42886944444444
MedCentralDeLabs;30/06/2023, 7:00:00;967,0186111111111;401,34954444444446;225,50371388888888;336,10540833333334
MedCentralDeLabs;30/06/2023, 8:00:00;2195,1387222222224;1031,928588888889;260,9965833333333;883,2565611111112
MedCentralDeLabs;30/06/2023, 9:00:00;1858,2559999999999;465,65249166666666;250,63156944444444;1127,7027
MedCentralDeLabs;30/06/2023, 10:00:00;1940,0843944444446;476,2840111111111;263,7344722222222;1185,2618527777777
MedCentralDeLabs;30/06/2023, 11:00:00;2055,6440666666667;492,68940833333335;256,1646388888889;1290,280561111111
MedCentralDeLabs;30/06/2023, 12:00:00;1353,6861555555556;476,31466944444446;238,35223611111113;630,5132
MedCentralDeLabs;30/06/2023, 13:00:00;1160,7562416666665;554,8080055555556;232,00617499999998;367,5232194444444
MedCentralDeLabs;30/06/2023, 14:00:00;2833,748969158099;722,6211253125867;903,4101639344262;1205,6576187829953
MedCentralDeLabs;30/06/2023, 15:00:00;3281,6018972222223;977,1065;1018,722825;1282,1042583333333
MedCentralDeLabs;30/06/2023, 16:00:00;2539,83215;830,8678944444445;454,20119166666666;1239,1089472222222
MedCentralDeLabs;30/06/2023, 17:00:00;2330,858319444444;839,1484805555556;223,9880361111111;1245,9407638888888
MedCentralDeLabs;30/06/2023, 18:00:00;1875,3342916666666;576,9920555555556;209,61655555555555;1072,4965583333333
MedCentralDeLabs;30/06/2023, 19:00:00;1730,455227777778;483,91711388888893;203,29851944444442;1028,7652083333332
MedCentralDeLabs;30/06/2023, 20:00:00;1447,4646500000001;411,31394166666666;195,5322888888889;829,4364166666667
MedCentralDeLabs;30/06/2023, 21:00:00;757,3330472222221;307,4546583333333;178,10599722222224;268,6422638888889
MedCentralDeLabs;30/06/2023, 22:00:00;757,2494416666667;307,5930611111111;178,1410888888889;268,4271777777778
MedCentralDeLabs;30/06/2023, 23:00:00;757,5714666666668;308,16104722222224;177,74960000000002;268,5186361111111
MedCentralDeLabs;01/07/2023, 0:00:00;749,5450361111111;304,4582555555555;174,0796861111111;267,85387222222226
MedCentralDeLabs;01/07/2023, 1:00:00;749,0497805555556;303,8200194444445;174,00854722222223;268,0400388888889
MedCentralDeLabs;01/07/2023, 2:00:00;744,0211194444444;301,57101388888884;171,11588055555555;268,1115527777778
MedCentralDeLabs;01/07/2023, 3:00:00;744,8007166759621;301,905736196319;172,64668990518683;267,08974902398216
MedCentralDeLabs;01/07/2023, 4:00:00;739,6199666666666;299,5818472222222;169,6608611111111;267,19200555555557
MedCentralDeLabs;01/07/2023, 5:00:00;743,5722166666667;301,70025;171,85520833333334;266,8158583333333
MedCentralDeLabs;01/07/2023, 6:00:00;762,1427416666667;310,7324888888889;180,17333333333335;268,1561388888889
MedCentralDeLabs;01/07/2023, 7:00:00;765,1823944444445;311,58177777777775;180,9615527777778;269,54113333333333
MedCentralDeLabs;01/07/2023, 8:00:00;763,5652500000001;309,90355555555556;180,20995277777777;270,31546944444443
MedCentralDeLabs;01/07/2023, 9:00:00;769,6152277777778;310,3392944444444;182,29940277777777;273,8694805555556
MedCentralDeLabs;01/07/2023, 10:00:00;782,3264361111111;311,017475;183,631075;284,46639166666665
MedCentralDeLabs;01/07/2023, 11:00:00;791,8854027777778;315,6331861111111;186,67416666666668;286,3758222222222
MedCentralDeLabs;01/07/2023, 12:00:00;791,9505055555555;316,3436305555556;186,64617222222222;285,7249555555556
MedCentralDeLabs;01/07/2023, 13:00:00;784,6669361111111;312,96994444444437;183,9371138888889;284,5202777777778
MedCentralDeLabs;01/07/2023, 14:00:00;784,3037166666667;312,5635277777778;183,53807500000002;284,95100833333333
MedCentralDeLabs;01/07/2023, 15:00:00;782,3378472222222;311,3330027777778;182,87008055555557;284,88906944444443
MedCentralDeLabs;01/07/2023, 16:00:00;782,2404972222222;311,28985;182,23309722222223;285,424175
MedCentralDeLabs;01/07/2023, 17:00:00;775,2621555555555;308,0905638888889;178,95939166666668;284,8963638888889
MedCentralDeLabs;01/07/2023, 18:00:00;773,6018027777778;307,42880833333334;178,5709222222222;284,30341111111113
MedCentralDeLabs;01/07/2023, 19:00:00;763,6942750000001;307,78441666666663;176,82745277777778;275,8354083333333
MedCentralDeLabs;01/07/2023, 20:00:00;760,0744777777778;307,6128083333333;177,16578055555556;272,11740555555554
MedCentralDeLabs;01/07/2023, 21:00:00;758,7336861111111;306,79351111111106;177,80865555555553;270,9896888888889
MedCentralDeLabs;01/07/2023, 22:00:00;763,2327833333334;309,4429416666667;179,39375555555557;271,249525
MedCentralDeLabs;01/07/2023, 23:00:00;768,8728;311,78493055555555;181,99550000000002;271,97234444444445
MedCentralDeLabs;02/07/2023, 0:00:00;754,0852347874409;304,9160516810225;175,98946651847734;270,01540427896634
